"county","totalVotes","buchananVotes","goreVotes","bushVotes","absVotes","absBuchanan"
"Alachua      ",85729,263,47365,34124,10694,40
"Baker        ",8154,73,2392,5610,1111,4
"Bay          ",58805,248,18850,38637,12587,37
"Bradford     ",8673,65,3075,5414,1126,4
"Brevard      ",218395,570,97318,115185,31811,83
"Broward      ",575143,795,387703,177902,48525,83
"Calhoun      ",5174,90,2155,2873,664,6
"Charlotte    ",66896,182,29645,35426,9612,23
"Citrus       ",57204,270,25525,29767,10191,40
"Clay         ",57353,186,14632,41736,7831,19
"Collier      ",92162,122,29921,60450,13046,25
"Columbia     ",18508,89,7047,10964,2377,11
"Desoto       ",7811,36,328808,289533,1468,7
"Dixie        ",4666,29,3320,4256,651,8
"Duval        ",264636,652,1826,2697,31728,121
"Escambia     ",116648,502,107864,152098,21387,60
"Flagler      ",27111,83,40943,73017,3773,8
"Franklin     ",4644,33,13897,12613,846,5
"Gadsden      ",14727,38,2046,2454,1827,1
"Gilchrist    ",5395,29,9735,4767,608,2
"Glades       ",3365,9,1910,3300,507,3
"Gulf         ",6144,71,1442,1841,1427,16
"Hamilton     ",3964,23,2397,3550,816,0
"Hardee       ",6233,30,1722,2146,1056,0
"Hendry       ",8139,22,2339,3765,1128,4
"Hernando     ",65219,242,3240,4747,9274,24
"Highlands    ",35149,127,32644,30646,4141,17
"Hillsborough ",360295,847,14167,20206,36952,70
"Holmes       ",7395,76,169557,180760,774,5
"Indian River ",49622,105,2177,5011,6952,15
"Jackson      ",16300,102,19768,28635,1791,8
"Jefferson    ",5643,29,6868,9138,812,4
"Lafayette    ",2505,10,3041,2478,436,2
"Lake         ",88611,289,789,1670,11790,28
"Lee          ",184377,305,36571,50010,20365,48
"Leon         ",103124,282,73560,106141,18648,57
"Levy         ",12724,67,61427,39062,1516,1
"Liberty      ",2410,39,5398,6858,211,0
"Madison      ",6162,29,1017,1317,737,4
"Manatee      ",110221,271,3014,3038,13441,33
"Marion       ",102956,563,49177,57952,11470,55
"Martin       ",62013,112,44665,55141,9980,27
"Miami-Dade   ",625449,560,26620,33970,41474,45
"Monroe       ",33887,47,16483,16059,6732,8
"Nassau       ",23780,90,6952,16404,3632,7
"Okaloosa     ",70680,267,16948,52093,14245,32
"Okeechobee   ",9853,43,4588,5057,1710,8
"Orange       ",280125,446,140220,134517,38866,64
"Osceola      ",55658,145,28181,26212,5581,20
"Palm Beach   ",433186,3411,269732,152951,45830,101
"Pasco        ",142731,570,69564,68582,14571,56
"Pinellas     ",398472,1013,200630,184825,45116,129
"Polk         ",168607,533,75200,90295,20896,69
"Putnam       ",26222,148,12102,13447,3086,16
"Santa Rosa   ",50319,311,12802,36274,7775,23
"Sarasota     ",160942,305,72853,83100,21378,40
"Seminole     ",137634,194,59174,75677,15466,20
"St. Johns    ",60746,229,19502,39546,9613,34
"St. Lucie    ",77989,124,41559,34705,8871,16
"Sumter       ",22261,114,9637,12127,2935,14
"Suwannee     ",12457,108,4075,8006,1664,14
"Taylor       ",6808,27,2649,4056,1106,2
"Union        ",3826,37,1407,2332,661,3
"Volusia      ",183653,498,97304,82357,28018,82
"Wakulla      ",8587,46,3838,4512,1101,6
"Walton       ",18318,120,5642,12182,3084,19
"Washington   ",8025,88,2798,4994,1079,9
